CCTV-央视,#genre#
兵团卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227241/10000100000000060000000000987142_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPUHiEAA9M3OibP68BdSoFyQ,

厦门卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221227312/10000100000000060000000003100522_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPNx52PgEz9/ZNKByVBspdlA,

三沙卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221229820/10000100000000060000000009574894_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPN6p/H93Lki0NvQ1qwhiFUw,

吉林延边卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221226940/00000100000000060000000000554911_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPlYae3SEbn1tE57sNUj6lWg,AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7FcnoK4ZmVwA9Op6P7tHzA,

CCTV-广东台,#genre#
东莞公共,http://stream.sun0769.com/dgrtv1/mp4:tv2/index.m3u8?channel=1&t=1581056539&ttl=28800&key=c7f058c611352f167b34b2e4e2195022&wsSession=04cf56f06f73ec6f00b575b3-158105636426494&wsIPSercert=6bd7b8fa181d8bd3fd6635c1f02354af&wsMonitor=0

东莞新闻综合,http://stream.sun0769.com/dgrtv1/mp4:tv1/index.m3u8?channel=1&t=1581056602&ttl=28800&key=44f3f50955ea9b38a46f9f8319b4becc&wsSession=04cf56f06f73ec6f00b575b3-158105636426494&wsIPSercert=6bd7b8fa181d8bd3fd6635c1f02354af&wsMonitor=0

经济科教高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227238/10000100000000060000000000987130_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPbvbKwGVC4QdDSltBOkAwig,

广东体育高清-测试,rtsp://183.59.156.50/PLTV/88888905/224/3221227484/10000100000000060000000003928833_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP8/728INN4HOqpE8KzCyobw,

广东珠江高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229811/10000100000000060000000009467087_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPIsTEkEMilPm9E92vchxYVg,

广东新闻,rtsp://183.59.156.50/PLTV/88888905/224/3221226969/00000100000000060000000000554905_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP0Q9FPjMgyB64W+fgFX1wfw,

广东公共,rtsp://183.59.156.50/PLTV/88888905/224/3221226931/00000100000000060000000000554902_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPhkA5xhaJ2yvnx0+QUS9vDw,

广东国际,rtsp://183.59.156.50/PLTV/88888905/224/3221227230/10000100000000060000000000990032_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPS/s/npOGsmaAu2+fZHvJkw,

南方卫视,rtsp://183.59.156.50/PLTV/88888905/224/3221226975/00000100000000060000000000554907_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP2LGImDpZt2UwZh+Nbednow,

广东影视,rtsp://183.59.156.50/PLTV/88888905/224/3221226937/00000100000000060000000000554910_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPt2hshp04zXdtt39omO8hvA,

广东少儿,rtsp://183.59.156.50/PLTV/88888905/224/3221226989/00000100000000060000000000554886_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPQ7zaTcmR+3Zh0H5AIWCFrw,

珠江电影,rtsp://183.59.156.50/PLTV/88888905/224/3221228082/10000100000000060000000007057113_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPYvVfqR9EHmxPj1DtIyWwKA,

岭南戏曲,rtsp://183.59.156.50/PLTV/88888905/224/3221227225/10000100000000060000000000990089_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPBlKSFKAWQ93IqM8mMlpFAA,

广东现代教育,rtsp://183.59.156.50/PLTV/88888905/224/3221227233/10000100000000060000000000990060_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPONpAWVvCKSFZ8eAVfBSvqQ,

广东移动,rtsp://183.59.156.50/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPkM+gT2KaoNzW4FOs7NXh2w,

英语辅导,rtsp://183.59.156.50/PLTV/88888905/224/3221227236/10000100000000060000000000990116_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPKOcPDcD2Y2TNNLkkXEgUqg,

广东房产,rtsp://183.59.156.50/PLTV/88888905/224/3221227216/10000100000000060000000000990028_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP+tcumSWwRXYxGoQRgC3BwA,

足球,rtsp://183.59.156.50/PLTV/88888905/224/3221229835/10000100000000060000000009130764_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPUCSkNwH9eXnxWzKxxIx5QQ,

山东教育,rtsp://183.59.156.50/PLTV/88888905/224/3221227244/10000100000000060000000000987144_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPms1zoHqJ7LY/AAhoPBVq1Q,

财富天下,rtsp://183.59.156.50/PLTV/88888905/224/3221227152/10000100000000060000000000937843_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPcUFxDu1bqNoRHMuieJAgvQ,

BTV冬奥纪实高清,rtsp://183.59.156.50/PLTV/88888905/224/3221227613/10000100000000060000000004490594_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPQ1G0bpS8kQ++Nq+jEiQfEA,

金鹰纪实高清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221227916/10000100000000060000000006078790_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPnULrX4gkqIl9Jc+azi95iw,

上海纪实高清,rtsp://183.59.156.50/PLTV/88888905/224/3221229872/10000100000000060000000009575047_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPOwtCvECynq7mmLssJiTvfg,

中国交通,rtsp://183.59.156.50/PLTV/88888905/224/3221229880/10000100000000060000000009331996_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPkaHizhp8ayc8KPhRvVE+Ng,

CHC高清电影,rtsp://183.59.156.50/PLTV/88888905/224/3221230008/10000100000000060000000010481261_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPLBKD6vBuOlA6U7dyX05Wmw,

CBN风尚生活,rtsp://183.59.156.50/PLTV/88888905/224/3221229879/10000100000000060000000010323145_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP8xlLiJAMXjzcrokwTSLaVg,

CBN幸福娱乐,rtsp://183.59.156.50/PLTV/88888905/224/3221229899/10000100000000060000000010323144_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwxQYN4DnM1Mo3b0dEcKGLg,

CBN幸福剧场,rtsp://183.59.156.50/PLTV/88888905/224/3221229919/10000100000000060000000010323143_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP5AdmKGHKQjtJm+YweRI5HQ,

熊猫频道,rtsp://183.59.156.50/PLTV/88888905/224/3221229882/10000100000000060000000009574916_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPa98Yd9BMpzJviamaqrW/Hg,

茶频道,rtsp://183.59.156.50/PLTV/88888905/224/3221229888/10000100000000060000000010323146_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwT8EMkN/r15uVGyjGA8LMA,

快乐垂钓,rtsp://183.59.156.50/PLTV/88888905/224/3221229928/10000100000000060000000010323147_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPEFwaG+YET52d5KS5V4tuLQ,

嘉佳卡通,rtsp://183.59.156.50/PLTV/88888905/224/3221226972/00000100000000060000000000554906_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPoblcHanjpNcxPN+0hzmw9w,

卡酷动画,rtsp://183.59.156.50/PLTV/88888905/224/3221227111/10000100000000060000000000937814_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPObxTHKSfQnlOZir3UhM5qw,

金鹰卡通,rtsp://183.59.156.50/PLTV/88888905/224/3221227163/10000100000000060000000000937813_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPqtO9IMnZcos54jycAYOXpg,

炫动卡通,rtsp://183.59.156.50/PLTV/88888905/224/3221227212/10000100000000060000000000987175_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPJX7jv9CX395wH6EkkVxPSg,

优漫卡通,rtsp://183.59.156.50/PLTV/88888905/224/3221228324/10000100000000060000000007935406_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPg0wQYDR/ygU+ygKhFVqKjQ,

南方购物-精选,rtsp://183.59.156.50/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPITsZwH8vzaFvVfDmXtwk6Q,

南方购物,rtsp://183.59.156.50/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP05UEeU3ngbElB4kCO/zWFQ,

CCTV-广东电信超清,#genre#
CCTV-1超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227610/10000100000000060000000004462931_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP6PASsZkYCUPGivNgMHuAUQ,

CCTV-3超清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221229848/10000100000000060000000009924446_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPbEAHKvM9JuxaK6fuAgYLkA,

CCTV-5超清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221229805/10000100000000060000000009924448_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPG92A130Gctmd2OeP96It1g,

CCTV-6超清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221229816/10000100000000060000000009924383_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPfImVuR/+s5ZMTIVZzvhotA,

CCTV-8超清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221229797/10000100000000060000000009924384_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPlqcxLzKt4ctKxX4C3tPEww,

广东卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227768/10000100000000060000000005076861_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPdWrk3CdkWmICzV60Lfgcpw,

经济科教超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227811/10000100000000060000000005076860_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPVWtvHbuSj1C6YXi/z9rPJA,

广东体育超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227818/10000100000000060000000005076859_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPiuPiTPunS2N7M8wGRi6RnA,

广东珠江超清,rtsp://183.59.156.50/PLTV/88888905/224/3221229854/10000100000000060000000009467088_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP47L2YGTLKWiWg0eBu5Bs4A,

BTV冬奥纪实超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227587/10000100000000060000000004490595_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPINrOLid3/aTrKjN6iwImOA,

金鹰纪实超清测试,rtsp://183.59.156.50/PLTV/88888905/224/3221227888/10000100000000060000000006099114_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPrIz/+WIRC6sc9LdRb6jSLQ,

湖南卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227581/10000100000000060000000004462928_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPZ4kzb0W1PKRd1XiXrofNJg,

浙江卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227546/10000100000000060000000004462925_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPG96lpYr+GrYveNbacSYRWg,

江苏卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227607/10000100000000060000000004462927_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP3QpySkUeBN5VNEuOHulFfQ,

深圳卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227543/10000100000000060000000004462919_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPmx9U9puzxecML2Y5Ct2g9w,

黑龙江卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227604/10000100000000060000000004462921_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPTqG8f1k+5Ovncm0FS/wMxA,

湖北卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227584/10000100000000060000000004462929_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP+xbpzVjZ3YDdNHiVlng2Bg,

天津卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227575/10000100000000060000000004462922_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPZ1RP94W9rQTDumOnzoYJ3A,

山东卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227578/10000100000000060000000004462924_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPDS+UvaiD1K52lHF+E3HcIw,

辽宁卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227885/10000100000000060000000006094815_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPMzmNyYHc5b2Iz3vfSuLlxA,

四川卫视超清,rtsp://183.59.156.50/PLTV/88888905/224/3221227922/10000100000000060000000006099115_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPyz6OyicBopXforCK9/CNPw,

广东综艺(4k),rtsp://183.59.156.50/PLTV/88888905/224/3221229717/10000100000000060000000008643415_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7O502T4KZMEh0DH/rmDJSw,

广东综艺 宽色域(4k),rtsp://183.59.156.50/PLTV/88888905/224/3221229726/10000100000000060000000008690808_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPoJ/z+4TlmY3QsvXVixY99w,

广东综艺(4k),rtsp://183.59.156.50/PLTV/88888905/224/3221229713/10000100000000060000000008646185_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPESvU9EZYsPU6gaPVhBeT9w,

广东综艺 宽色域AVS2(4k),rtsp://183.59.156.50/PLTV/88888905/224/3221229712/10000100000000060000000008796229_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPPpuCL6RG5c+qUz4Nni+OEw,

极k影视-测试,rtsp://183.59.156.50/PLTV/88888905/224/3221228037/10000100000000060000000006912177_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUP7AXhH/0jD7xPtrTclyij5Q,

粤TV-粤荟萃,rtsp://183.59.156.50/PLTV/88888905/224/3221228100/10000100000000060000000007150280_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwKi63WlfjIZlVcffjQu5lQ,

